ord_id,cust_id,product_nm,prod_category,price_amt,qty,status_cd,payment_mode,ship_city,order_dt
107397,9612,Cloud Essentials,Books,496.96,1,Placed,UPI,Hubballi,2025-07-16
129821,7134,Storage Box,Home,134.81,5,Packed,UPI,Hubballi,2025-08-27
101988,9128,Smart Watch,Electronics,1895.71,4,Placed,Wallet,Belagavi,2025-12-22
120096,4249,T-Shirt,Fashion,3179.44,2,Returned,Net Banking,Shivamogga,2025-05-29
132436,9977,Bedsheet,Home,682.34,5,Placed,Net Banking,Shivamogga,2025-05-13
144198,8295,Sneakers,Fashion,1093.43,1,Returned,Wallet,Tumakuru,2025-04-01
145913,7482,Olive Oil,Groceries,716.52,3,Shipped,Credit Card,Hubballi,2025-12-01
105520,2983,Body Lotion,Beauty,430.67,4,Shipped,Credit Card,Belagavi,2025-10-10
121419,6607,LED Lamp,Home,2396.58,4,Returned,UPI,Belagavi,2025-06-06
134369,9768,Data Structures,Books,4051.17,2,Delivered,Credit Card,Hubballi,2025-09-05
111365,8926,Shampoo,Beauty,251.26,1,Delivered,COD,Shivamogga,2025-09-23
142981,4077,Python Basics,Books,1469.37,1,Delivered,Credit Card,Shivamogga,2025-02-09
142465,6507,Olive Oil,Groceries,2708.87,1,Placed,Credit Card,Mangaluru,2025-10-24
101481,4334,Yoga Mat,Sports,261.87,2,Placed,Debit Card,Tumakuru,2025-07-28
105504,1663,Jeans,Fashion,3231.33,1,Placed,Debit Card,Belagavi,2025-01-07
135558,7156,USB Hub,Electronics,4869.50,4,Delivered,COD,Bengaluru,2025-05-07
116165,1858,Phone Charger,Electronics,2432.39,5,Delivered,Net Banking,Bengaluru,2025-10-25
110841,7527,Bedsheet,Home,3487.17,3,Packed,Debit Card,Shivamogga,2025-06-14
100597,9561,Yoga Mat,Sports,676.36,1,Delivered,Wallet,Mysuru,2025-12-19
115691,9142,Bluetooth Speaker,Electronics,1287.43,4,Delivered,UPI,Hubballi,2025-11-06
129656,3194,Jacket,Fashion,615.33,5,Shipped,UPI,Hubballi,2025-10-14
145246,1599,ML Intro,Books,1764.89,4,Packed,COD,Shivamogga,2025-05-27
139569,1970,Dry Fruits,Groceries,4006.39,3,Shipped,COD,Shivamogga,2025-10-01
112776,9945,Bedsheet,Home,430.37,5,Returned,COD,Tumakuru,2025-06-13
110933,4657,Face Wash,Beauty,1561.74,2,Shipped,Wallet,Hubballi,2025-04-19
136563,2654,Wireless Mouse,Electronics,4168.71,3,Delivered,Credit Card,Belagavi,2025-07-25
104695,4626,Wireless Mouse,Electronics,1031.77,4,Shipped,Wallet,Mysuru,2025-04-25
133555,4409,Skipping Rope,Sports,4931.81,5,Shipped,Credit Card,Mangaluru,2025-12-14
112668,5496,Bedsheet,Home,1037.77,1,Delivered,Net Banking,Tumakuru,2025-06-25
137927,7732,Smart Watch,Electronics,717.86,4,Delivered,Credit Card,Hubballi,2025-03-15
121376,1766,Skipping Rope,Sports,566.66,4,Delivered,Wallet,Shivamogga,2025-07-03
122901,9157,Face Wash,Beauty,3031.45,3,Placed,UPI,Tumakuru,2025-12-23
140898,5307,Sneakers,Fashion,857.52,2,Packed,Debit Card,Shivamogga,2025-08-25
